Company,Flight number,Dead,Survivors
CommutAir,4281,2,2
Air Inter,148,87,9
Aerolíneas Argentinas,386,1,Unknown
Air Transport International,805,4,0
USAir,405,27,24
Trans-Air Service,671,0,5
Copa Airlines,201,47,0
American Eagle,5456,5,0
GP Express,861,3,3
Transair Georgia,Unknown,24,0
Mandala Airlines,660,70,0
TWA,843,0,292
Thai Airways International,311,113,0
China General Aviation,7552,108,18
Aeroflot,2808,84,0
Vietnam Airlines,850,0,Unknown
Pakistan International Airlines,268,167,0
El Al,1862,43,0
Merpati Nusantara Airlines,5601,31,0
Vietnam Airlines,474,30,1
China Southern Airlines,3943,141,0
Martinair,495,54,238
Libyan Arab Airlines,1103,157,2
Baikal Airlines,130,125,0
United Express,6291,5,3
Pulkovo Aviation Enterprise,9045,13,0
Expresso Aéreo,028,31,0
Sahara Airlines/ Aeroflot,737/Il-86,9,0
Aeroflot,593,75,0
KLM Cityhopper,433,3,6
Federal Express,705,0,3
South Pacific Airmotive,DC-3,0,25
China Airlines,140,264,7
China Northwest Airlines,2303,160,0
Airbus Industrie,129,7,0
Air Mauritanie,625,80,13
USAir,1016,37,20
Alas Chiricanas,901,21,0
Korean Air,2033,0,152
Royal Air Maroc,630,44,0
USAir,427,132,0
Oriental Airlines,Unknown,5,34
Cheremshanka Airlines,Vanavara,28,0
Iran Aseman Airlines,746,66,0
American Eagle,4184,68,0
Scandinavian Airlines System,347,0,Unknown
TWA,427,0,Unknown
Philippine Airlines,434,1,Unknown
Flagship Airlines,3379,15,3
Nigeria Airways,9805,3,1
Air Algérie,702P,5,0
Air France,8969,0,Unknown
Turkish Airlines,278,57,12
LAC Colombia,028,22,0
Birgenair,301,189,0
Faucett,251,123,0
Formosa Airlines,7613,6,11
ValuJet,592,110,0
Eastwind Airlines,517,0,142
Garuda Indonesia,865,3,272
Delta Air Lines,1288,2,140
TWA,800,230,0
Spair Airlines,3601,11,0
Vnukovo Airlines,2801,141,0
Hemus Air,7081,0,150
FedEx Express,1406,0,5
Dutch Dakota Association,DC-3,32,0
Aeroperú,603,70,0
Delta Air Lines,554,0,63
Millon Air,406,34,0
TAM Transportes Aéreos Regionais,402,99,0
ADC Airlines,086,144,0
Saudi Arabian Airlines / Kazakhstan Airlines,763/1907,349,0
United Express,5925,14,0
Ethiopian Airlines,961,125,50
Dirgantara Air Service,5940,18,0
Airborne Express,827,6,0
Air Africa,61,227,0
LAC Colombia,28,22,0
Birgenair,301,189,0
Faucett,251,123,0
Formosa Airlines,7613,6,11
ValuJet,592,110,0
Eastwind,517,0,69
Garuda Indonesia,865,3,272
Delta,1288,2,140
TWA,800,230,0
Spair Airlines,3601,11,0
Vnukovo Airlines,2801,141,0
Hem Air Charter,7081,0,150
FedEx Express,1406,0,5
Dutch Dakota Association,0,32,0
Aeroperú,603,70,0
Delta,554,0,63
Millon Air,406,4,0
TAM,402,95,0
ADC Airlines,86,144,0
Saudi Arabian Airlines,763,312,0
Kazakhstan Airlines,1907,37,0
United Express,5925,14,0
Ethiopian Airlines,961,125,50
Dirgantara Air Service,5940,16,1
Airborne Express,827,6,0
China Southwest Airlines,4509,61,0
Alitalia,1553,4,0
Korean Air,1533,0,156
Turkish Airlines,5904,6,0
Avianca,9463,0,45
Korean Air Cargo,6316,8,0
American Airlines,1420,11,128
Hinduja Cargo Services,8533,5,0
All Nippon Airways,61,0,315
Air Fiji,121,17,0
TACV,5002,18,0
China Airlines,642,3,312
Uni Air,873,1,99
LAPA,3142,65,38
Edinburgh Air Charter,3W,8,3
Necon Air,128,15,0
Britannia Airways,226A,1,42
Qantas,1,0,230
Air Botswana,0,1,0
FedEx Express,87,0,2
EgyptAir,990,217,0
TAESA,725,18,0
Si Fly,3275,24,0
Asian Spirit,100,15,0
SATA Air Açores,530M,35,0
Cubana de Aviación,1216,18,296
Korean Air Cargo,8509,4,0
Indian Airlines,814,1,99
Cubana de Aviación,310,22,0
Crossair,498,10,0
Avisto,360,22,19
Kenya Airways,431,169,10
Alaska Airlines,261,88,0
Emery Worldwide Airlines,17,3,0
Southwest Airlines,1455,0,142
Air Philippines,541,131,0
Philippine Airlines,812,0,290
Air Liberté,8807,0,157
Whyalla Airlines,904,7,0
Wuhan Airlines,343,49,0
Malév,262,0,0
Aerocaribe,7831,19,0
Hapag-Lloyd,3378,0,0
Alliance Air,7412,55,3
Air France,4590,113,0
Royal Nepal Airlines,0,25,0
Southwest Airlines,1763,1,141
Gulf Air,72,143,0
Beechcraft,200,8,0
Lao Aviation,703,8,9
Singapore Airlines,6,83,96
ASA Pesada,24,57,0
Dirgantara Air Service,3130,0,18
Sabena,877,0,170
British Airways,2069,0,398
Yemenia,448,0,101
RUTACA Airlines,225,25,0
Japan Airlines,907/958,0,0
Iberia,1456,0,143
Loganair,670A,2,0
Thai Airways International,114,1,0
Vnukovo Airlines,2806,3,168
Air Caraïbes,1501,20,0
Avjet,0,18,0
Faraz Qeshm Airlines,0,30,0
Vladivostok Air,352,145,0
Rus,9633,10,0
Air Transat,236,0,306
Blackhawk International Airways,402B,9,0
Binter Mediterráneo,8261,4,39
TAM Airlines,9755,1,87
Aeroflot,521,0,322
Siberia Airlines,1812,78,0
Scandinavian Airlines System,686,118,0
Flightline,101,10,0
American Airlines,587,265,0
IRS Aero,9601/02,27,0
ELK Airways,1007,2,15
Crossair,3597,24,9
American Airlines,63,0,0
Siberia Airlines,852,0,139
Garuda Indonesia,421,1,59
TAME,120,94,0
Iran Air Tours,956,119,0
Air China,129,129,37
EAS Airlines,4226,73,4
EgyptAir,843,14,48
China Northern Airlines,6136,112,0
China Airlines,611,225,0
Bashkirian Airlines,2937/DHL,71,0
Prestige Airlines,707,28,2
Swiss International Air Lines,850,0,20
Bristow Helicopters,76A,11,0
FedEx Express,1478,0,3
Pulkovo Aviation Enterprise,9560,14,2
Shangri-La Air,0,18,0
Rico Linhas Aéreas,4823,23,8
Total Linhas Aéreas,5561,2,0
Northwest Airlines,85,0,404
Luxair,9642,20,0
Laoag International Airlines,585,19,15
Arkia,582,0,271
TransAsia Airways,791,2,0
Aeromist-Kharkiv,2137,44,0
Kam Air,904,104,0
British Airways,268,0,369
Air Transat,961,0,0
Regional Airlines,9288,28,24
West Caribbean Airways,9955,9,5
Airwork,23,2,0
Equatorial Express,0,60,0
Air France,358,0,309
Tuninter,1153,16,21
Copterline,103,14,0
Helios Airways,522,121,0
West Caribbean Airways,708,160,0
TANS Perú,204,40,46
Mandala Airlines,091,155,6
JetBlue,292,0,145
Bellview Airlines,210,117,0
Southwest Airlines,1248,1,0
Sosoliso Airlines,1145,108,2
Chalk's Ocean Airways,101,20,0
Azerbaijan Airlines,217,23,0
TEAM Linhas Aéreas,6865,19,0
Armavia,967,113,0
S7 Airlines,778,125,78
Pakistan International Airlines,688,45,0
FedEx,630,0,3
Air Algérie,2208,3,0
Pulkovo Aviation Enterprise,612,170,0
Comair,5191,49,1
Iran Airtour,945,28,120
EasyJet,6074,0,144
Shree Air,0,24,0
Gol Transportes Aéreos,1907,154,0
Turkish Airlines,1476,0,113
Atlantic Airways,670,4,12
Continental Airlines,1883,0,154
ADC Airlines,053,96,9
Transaven,0,14,0
British Airways,38,0,152
Lloyd Aéreo Boliviano,301,0,156
Eagle Airways,2279,0,9
Belavia,1834,0,21
Santa Bárbara Airlines,518,46,0
Blue Wing Airlines,0,19,0
Kata Air Transport,7,8,0
Hewa Bora Airways,122,40,0
Moskovia Airlines,9675,9,0
TACA,390,5,85
Sudan Airways,109,30,184
Centurion Air Cargo,164,0,8
East Coast Jets,81,8,0
Spanair,5022,154,18
Aéreo Ruta Maya,0,11,3
Iran Aseman Airlines,6895,65,25
Sriwijaya Air,062,1,25
Aeroflot,821,88,0
Yeti Airlines,103,18,1
Ryanair,4102,0,162
Continental Airlines,1404,0,115
US Airways,1549,0,155
Empire Airlines,8284,0,2
Colgan Air,3407,50,0
Turkish Airlines,1951,9,126
Mimika Air,514,11,0
CanJet,918,0,174
Air France,447,228,0
Yemenia,626,152,1
Caspian Airlines,7908,168,0
Aria Air,1525,16,157
Merpati Nusantara Airlines,9760,15,0
Bangkok Airways,266,1,71
Airlines PNG,4684,13,0
Aeroméxico,576,0,107
Airlink,8911,1,15
Azza Transport,2241,6,0
Avient Aviation,324,3,4
American Airlines,331,0,154
Taban Air,6437,0,170
Ethiopian Airlines,409,90,0
Aviastar-TU,1906,0,8
United Airlines,663,0,163
AeroUnion,302,6,0
Merpati Nusantara Airlines,836,0,103
Cathay Pacific,780,0,309
Afriqiyah Airways,771,103,1
Pamir Airways,112,44,0
Air India Express,812,158,8
Aéropro,201,7,0
Lufthansa Cargo,8460,0,2
Airblue,202,152,0
Katekavia,9357,12,3
AIRES,8250,2,129
Agni Air,101,14,0
Henan Airlines,8387,44,52
Alrosa,514,0,81
Conviasa,2350,17,34
Transafrik International,662,8,0
